FID,important,date_note,joinID,lake_name,state_province,year,source,intro_no,fish,effect,effect_notes,fish_note,kokanee,lake_trout,rainbow,various_trout,intro_mode,Longitude_Source,about,Latitude_Source,other,alt_name,year_est,amount,est,unintentional,lon,lat
31,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1107,Deckers Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.41,39.33
32,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1108,Deep Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-107.3,39.77
35,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1109,Diemer Lake,Colorado,1970,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.61,39.33
36,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1110,Dillon Reservoir,Colorado,1970,Twin Lakes Reservoir,1,lake,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1978,,Yes,,-106.05,39.6
44,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1114,Forest Lakes,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.67,39.92
47,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1115,Gold Dust Lakes,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,Gold Dust Lakes 1-5,,,,,-106.58,39.49
48,1,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1116,Grand Lake,Colorado,1969,Twin Lakes Reservoir,1,lake,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,Decline/elmination of Daphnia species (zooplankton). Decline of Kokanee salmon fishery.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,Yes,,-105.81,40.24
53,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1117,Green Mountain Reservoir,Colorado,1974,Twin Lakes Reservoir,1,lake,not_established,Not established.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,No,,-106.3,39.88
55,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1118,Gross Reservoir,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1993,,Yes,,-105.36,39.95
57,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1120,Homestake Reservoir,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.47,39.36
